"","tracking_id","ES_1","ES_0","ES_2","DefEnd_1","DefEnd_0","DefEnd_2","gene_short_name"
"1","XLOC_000001",0,0,0,0,0,0,"DDX11L1"
"2","XLOC_000002",0,0,0,0,0,0,"OR4F5"
"3","XLOC_000003",0,0,0.697436,0,0,0.946523,"LOC100132062,LOC100133331"
"4","XLOC_000004",0,0,0,0,0,0,"OR4F3"
"5","XLOC_000005",69.8423,79.5141,90.6667,89.3949,79.7977,93.7058,"LOC643837"
"6","XLOC_000006",0,0,0,33.8251,24.2863,110.743,"SAMD11"
"7","XLOC_000007",26.5224,25.4445,37.6616,12.0804,34.6947,75.7219,"KLHL17"
"8","XLOC_000008",4.4204,3.18056,1.39487,2.41608,1.73473,14.1979,"PLEKHN1"
"9","XLOC_000009",8.84079,7.95141,6.27693,2.41608,3.46947,11.3583,"ISG15"
"10","XLOC_000010",396.068,384.053,391.262,323.755,390.315,979.652,"AGRN"
"11","XLOC_000011",0,0.795141,0,0,0,0,"LOC254099"
"12","XLOC_000012",0,0,0,0,0,0,"MIR200B"
"13","XLOC_000013",0,0,0,0,0,0,"MIR200A"
"14","XLOC_000014",0,0,0,0,0,0,"MIR429"
"15","XLOC_000015",2.65224,3.18056,2.09231,0,0,1.89305,"TTLL10"
"16","XLOC_000016",147.641,139.15,175.057,264.561,308.783,254.615,"B3GALT6"
"17","XLOC_000017",17.6816,5.56599,4.88206,3.62412,1.73473,16.0909,"SCNN1D"
"18","XLOC_000018",28.2905,38.9619,47.4257,12.0804,1.73473,36.9144,"PUSL1"
"19","XLOC_000019",23.8701,27.0348,27.8975,16.9126,20.8168,32.1818,"GLTPD1"
"20","XLOC_000020",0,0,0,0,0,0,"TAS1R3"
"21","XLOC_000021",135.264,161.414,162.503,90.603,112.758,171.321,"LOC148413"
"22","XLOC_000022",0,0,0,0,0,0,"TMEM88B"
"23","XLOC_000023",36.2472,42.1425,50.2154,9.66432,15.6126,44.4866,"VWA1"
"24","XLOC_000024",74.2627,65.2016,99.7334,53.1537,64.1851,53.9518,"ATAD3C"
"25","XLOC_000025",67.19,62.8161,76.718,30.201,48.5725,74.7753,"ATAD3B"
"26","XLOC_000026",88.4079,85.8752,105.313,36.2412,39.8989,90.8662,"ATAD3A"
"27","XLOC_000027",11.493,8.74655,13.2513,10.8724,13.8779,43.5401,"MIB2"
"28","XLOC_000028",0,0,0,0,0,0,"MMP23A,MMP23B"
"29","XLOC_000029",0,0,0,0,0,0,"MMP23A"
"30","XLOC_000030",7.95671,12.7223,8.36924,4.83216,5.2042,6.62566,"CALML6"
"31","XLOC_000031",0.884079,2.38542,1.39487,0,0,0,"GABRD"
"32","XLOC_000032",293.514,311.695,310.359,250.064,216.842,351.16,"PRKCZ"
"33","XLOC_000033",1356.18,1308.01,1363.49,1485.89,1368.7,1280.65,"SKI"
"34","XLOC_000034",868.166,923.159,890.626,1241.86,1079,933.272,"RER1"
"35","XLOC_000035",1.76816,3.18056,0.697436,1.20804,0,0,"PLCH2"
"36","XLOC_000036",0.884079,0,0,0,0,0,"TNFRSF14"
"37","XLOC_000037",228.092,306.129,269.21,216.239,244.597,288.69,"FAM213B"
"38","XLOC_000038",0,0,0,0,0,0,"ACTRT2"
"39","XLOC_000039",8.84079,9.54169,7.6718,8.45628,1.73473,13.2513,"PRDM16"
"40","XLOC_000040",0,0,0,0,0,0,"MIR4251"
"41","XLOC_000041",81.3353,81.8995,88.5744,118.388,154.391,394.7,"ARHGEF16"
"42","XLOC_000042",307.66,318.852,369.641,893.949,905.531,986.277,"TPRG1L"
"43","XLOC_000043",59.2333,47.7085,54.4,19.3286,24.2863,14.1979,"TP73"
"44","XLOC_000044",0,1.59028,0,0,0,0.946523,"CCDC27"
"45","XLOC_000045",0.884079,0,1.39487,0,0,0,"LOC388588"
"46","XLOC_000046",195.382,201.171,219.692,134.092,150.922,156.176,"DFFB"
"47","XLOC_000047",5.30448,14.3125,9.06667,10.8724,5.2042,13.2513,"LOC100133612"
"48","XLOC_000048",0,0,0,0,0,0,"LOC728716"
"49","XLOC_000049",0,0,0,0,0,0,"LOC284661"
"50","XLOC_000050",78.6831,77.9238,79.5078,279.057,296.639,290.583,"AJAP1"
"51","XLOC_000051",0,0,0,0,0,0,"MIR4417"
"52","XLOC_000052",124.655,118.476,131.118,19.3286,22.5515,94.6523,"KCNAB2"
"53","XLOC_000053",49.5084,50.0939,55.0975,49.5296,39.8989,54.8984,"RNF207"
"54","XLOC_000054",36.2472,46.9133,50.2154,0,0,0.946523,"HES3"
"55","XLOC_000055",24.7542,23.8542,32.0821,4.83216,8.67367,11.3583,"ESPN"
"56","XLOC_000056",1.76816,0.795141,0,0,0,0,"TAS1R1"
"57","XLOC_000057",91.0602,77.1287,80.9026,66.4422,52.042,144.818,"ZBTB48"
"58","XLOC_000058",790.367,744.252,823.672,966.432,1065.13,992.903,"PHF13"
"59","XLOC_000059",40.6676,46.1182,47.4257,21.7447,27.7557,52.0588,"THAP3"
"60","XLOC_000060",746.163,725.169,748.349,852.876,969.716,731.663,"CAMTA1"
"61","XLOC_000061",939.776,924.749,931.078,1483.47,1491.87,1159.49,"VAMP3"
"62","XLOC_000062",368.661,310.9,291.528,124.428,100.615,118.315,"PER3"
"63","XLOC_000063",3395.75,3431.83,3654.57,3075.67,3231.81,2689.07,"PARK7"
"64","XLOC_000064",12.3771,7.95141,8.36924,0,0,2.83957,"SLC45A1"
"65","XLOC_000065",1.76816,3.9757,0.697436,3.62412,0,0.946523,"ENO1-AS1"
"66","XLOC_000066",0,0,0,0,0,0,"CA6"
"67","XLOC_000067",427.894,380.873,334.77,670.462,667.872,1110.27,"H6PD"
"68","XLOC_000068",38.0154,48.5036,38.359,140.133,150.922,182.679,"SPSB1"
"69","XLOC_000069",609.131,631.342,663.96,558.114,523.889,364.412,"SLC25A33"
"70","XLOC_000070",125.539,135.969,127.631,65.2341,90.2061,108.85,"TMEM201"
"71","XLOC_000071",472.098,505.71,450.544,163.085,187.351,284.904,"PIK3CD"
"72","XLOC_000072",137.032,177.316,147.159,288.721,255.006,230.952,"NMNAT1"
"73","XLOC_000073",27.4065,44.5279,35.5693,6.0402,3.46947,6.62566,"RBP7"
"74","XLOC_000074",3279.93,3194.88,3079.88,2302.52,2154.54,2049.22,"UBE4B"
"75","XLOC_000075",4446.03,4114.06,3761.97,5785.3,5464.41,5514.45,"KIF1B"
"76","XLOC_000076",5161.25,5254.29,5351.43,3159.02,2910.88,3653.58,"PGD"
"77","XLOC_000077",170.627,155.848,196.677,234.36,216.842,177.946,"APITD1,APITD1-CORT,CORT"
"78","XLOC_000078",80.4512,86.6704,99.7334,85.7708,91.9409,156.176,"PEX14"
"79","XLOC_000079",7680,7491.02,7722.02,7410.11,6912.91,5379.09,"TARDBP"
"80","XLOC_000080",0,0.795141,0.697436,1.20804,3.46947,2.83957,"ANGPTL7"
"81","XLOC_000081",387.227,393.595,454.031,231.944,213.372,217.7,"UBIAD1"
"82","XLOC_000082",23.8701,31.0105,39.0564,3.62412,1.73473,5.67914,"PTCHD2"
"83","XLOC_000083",161.787,190.834,202.954,94.2271,97.1451,177,"FBXO44"
"84","XLOC_000084",15.0293,15.9028,13.2513,19.3286,13.8779,45.4331,"FBXO6"
"85","XLOC_000085",75.1467,65.2016,78.1129,14.4965,26.021,51.1123,"C1orf187"
"86","XLOC_000086",91.0602,96.2121,97.6411,47.1135,55.5115,176.053,"AGTRAP"
"87","XLOC_000087",613.551,598.741,609.559,520.665,461.439,612.401,"CLCN6,NPPA-AS1"
"88","XLOC_000088",449.112,522.408,556.554,798.514,740.731,1522.01,"PLOD1"
"89","XLOC_000089",1357.95,1349.35,1380.23,1230.99,1165.74,1436.82,"MFN2"
"90","XLOC_000090",74.2627,83.4898,99.036,56.7779,46.8378,180.786,"MIIP"
"91","XLOC_000091",92.8283,103.368,86.4821,4.83216,8.67367,11.3583,"TNFRSF8"
"92","XLOC_000092",32.7109,22.2639,26.5026,8.45628,13.8779,9.46523,"MIR4632,TNFRSF1B"
"93","XLOC_000093",1584.27,1449.54,1230.28,1448.44,1451.97,1485.1,"VPS13D"
"94","XLOC_000094",0,0,0,0,0,0,"SNORA59A"
"95","XLOC_000095",2.65224,1.59028,0,0,0,0,"AADACL4"
"96","XLOC_000096",20.3338,15.9028,15.3436,15.7045,0,5.67914,"AADACL3"
"97","XLOC_000097",0,0.795141,0,1.20804,0,0,"C1orf158"
"98","XLOC_000098",0,0,0,0,0,0,"PRAMEF12"
"99","XLOC_000099",0,0,0,0,0,0,"PRAMEF1"
"100","XLOC_000100",0,0,0,0,0,0,"PRAMEF2"
"101","XLOC_000101",0,0,0,0,0,0,"PRAMEF7,PRAMEF8"
"102","XLOC_000102",0,0,0,0,0,0,"PRAMEF22"
"103","XLOC_000103",0,0,0,0,0,0,"PRAMEF5"
"104","XLOC_000104",0,0,0,0,0,0,"PRAMEF9"
"105","XLOC_000105",0,0,0,0,0,0,"PRAMEF16"
"106","XLOC_000106",0,0,0,0,0,0,"PRAMEF20,PRAMEF21"
"107","XLOC_000107",0,0,0,0,0,0,"PRAMEF9"
"108","XLOC_000108",0,0,0,0,0,0,"PRAMEF17"
"109","XLOC_000109",0,0,0,0,0,0,"PRAMEF20,PRAMEF21"
"110","XLOC_000110",1993.6,2033.18,2206.69,448.183,411.132,499.764,"PDPN"
"111","XLOC_000111",809.817,774.467,727.426,1168.17,1106.76,1048.75,"PRDM2"
