"","tracking_id","ES_0","ES_1","ES_2","DefEnd_0","DefEnd_2","DefEnd_1","gene_short_name"
"1","XLOC_000001",0,0,0,0,0,0,"DDX11L1"
"2","XLOC_000002",0,0,0,0,0,0,"MIR1302-11"
"3","XLOC_000003",0,0,0,0,0,0,"OR4F5"
"4","XLOC_000004",0,0,0.698902,0,0.945851,0,"LOC100132287,LOC100133331"
"5","XLOC_000005",0,0,0,0,0,0,"OR4F29"
"6","XLOC_000006",0.796126,0,0.698902,1.73538,6.62096,3.62058,"FAM87B"
"7","XLOC_000007",187.09,163.44,196.391,204.775,228.896,264.302,"LINC01128"
"8","XLOC_000008",0,0,0,24.2953,111.61,34.999,"SAMD11"
"9","XLOC_000009",25.476,26.5037,37.7407,34.7076,76.614,12.0686,"KLHL17"
"10","XLOC_000010",3.18451,4.41729,1.3978,1.73538,14.1878,2.41372,"PLEKHN1"
"11","XLOC_000011",7.96126,8.83458,6.29011,3.47076,11.3502,2.41372,"ISG15"
"12","XLOC_000012",386.917,397.556,394.181,397.402,984.631,325.852,"AGRN"
"13","XLOC_000013",0.796126,0,0,0,0,0,"LINC01342"
"14","XLOC_000014",0,0,0,0,0,0,"MIR200B"
"15","XLOC_000015",0,0,0,0,0,0,"MIR200A"
"16","XLOC_000016",0,0,0,0,0,0,"MIR429"
"17","XLOC_000017",3.18451,2.65037,2.0967,0,1.8917,0,"TTLL10"
"18","XLOC_000018",139.322,147.538,175.424,308.898,254.434,264.302,"B3GALT6"
"19","XLOC_000019",5.57288,17.6692,4.89231,1.73538,16.0795,3.62058,"SCNN1D"
"20","XLOC_000020",39.0102,28.2707,47.5253,1.73538,36.8882,12.0686,"PUSL1"
"21","XLOC_000021",27.0683,23.8534,27.9561,20.8246,32.1589,16.896,"CPTP"
"22","XLOC_000022",0,0,0,0,0,0,"TAS1R3"
"23","XLOC_000023",161.614,135.169,163.543,112.8,171.199,90.5145,"LOC148413"
"24","XLOC_000024",0,0,0,0,0,0,"TMEM88B"
"25","XLOC_000025",42.1947,36.2218,50.3209,15.6184,44.455,9.65489,"VWA1"
"26","XLOC_000026",65.2824,71.5601,95.7495,50.326,44.455,38.6195,"ATAD3C"
"27","XLOC_000027",62.894,67.1428,78.9759,48.5906,75.6681,30.1715,"ATAD3B"
