"","tracking_id","ES_1","ES_0","ES_2","DefEnd_1","DefEnd_0","DefEnd_2","gene_short_name","es_mean","de_mean","xlog2","tstat","p","Bonf_p"
"6","XLOC_000006",0,0,0,33.8251,24.2863,110.743,"SAMD11",0,56.2848,Inf,-2.0565932119146,0.176015264584369,1
"160","XLOC_000160",0,0,0,0,0,0.946523,"CELA3B",0,0.315507666666667,Inf,-1,0.422649730810374,1
"305","XLOC_000305",0,0,0,0,1.73473,0,"TMCO2",0,0.578243333333333,Inf,-1,0.422649730810374,1
"386","XLOC_000386",0,0,0,30.201,39.8989,33.1283,"CDKN2C",0,34.4094,Inf,-11.981454417105,0.00689400709924191,1
"416","XLOC_000416",0,0,0,1.20804,0,0,"C8A",0,0.40268,Inf,-1,0.422649730810374,1
"471","XLOC_000471",0,0,0,1.20804,0,0.946523,"MGC27382",0,0.718187666666667,Inf,-1.95721513362721,0.189452353690562,1
"473","XLOC_000473",0,0,0,0,0,0.946523,"IFI44L",0,0.315507666666667,Inf,-1,0.422649730810374,1
"478","XLOC_000478",0,0,0,0,0,0.946523,"DNASE2B",0,0.315507666666667,Inf,-1,0.422649730810374,1
"485","XLOC_000485",0,0,0,0,1.73473,0,"CLCA1",0,0.578243333333333,Inf,-1,0.422649730810374,1
"505","XLOC_000505",0,0,0,3.62412,0,0,"C1orf146",0,1.20804,Inf,-1,0.422649730810374,1
"715","XLOC_000715",0,0,0,1.20804,0,0,"SPRR3",0,0.40268,Inf,-1,0.422649730810374,1
"760","XLOC_000760",0,0,0,1.20804,0,0.946523,"RXFP4",0,0.718187666666667,Inf,-1.95721513362721,0.189452353690562,1
"776","XLOC_000776",0,0,0,9.66432,0,0.946523,"NTRK1",0,3.53694766666667,Inf,-1.14991032775399,0.369122615578959,1
"782","XLOC_000782",0,0,0,0,0,0.946523,"CD1A",0,0.315507666666667,Inf,-1,0.422649730810374,1
"811","XLOC_000811",0,0,0,2.41608,1.73473,0.946523,"LY9",0,1.699111,Inf,-4.00169116851468,0.0571466931241781,1
"846","XLOC_000846",0,0,0,0,0,0.946523,"FMO9P",0,0.315507666666667,Inf,-1,0.422649730810374,1
"910","XLOC_000910",0,0,0,0,0,0.946523,"GM140",0,0.315507666666667,Inf,-1,0.422649730810374,1
"932","XLOC_000932",0,0,0,0,0,0.946523,"RGS21",0,0.315507666666667,Inf,-1,0.422649730810374,1
"947","XLOC_000947",0,0,0,2.41608,1.73473,1.89305,"LHX9",0,2.01462,Inf,-9.78601769420208,0.010281342914321,1
"1007","XLOC_001007",0,0,0,0,0,0.946523,"C4BPA",0,0.315507666666667,Inf,-1,0.422649730810374,1
"1037","XLOC_001037",0,0,0,1.20804,0,0,"LINC00538",0,0.40268,Inf,-1,0.422649730810374,1
"1117","XLOC_001117",0,0,0,1.20804,0,0,"RPS7P5",0,0.40268,Inf,-1,0.422649730810374,1
"1145","XLOC_001145",0,0,0,1.20804,1.73473,0,"OR2L13",0,0.980923333333333,Inf,-1.91031554464698,0.196274810093423,1
"1146","XLOC_001146",0,0,0,1.20804,0,0,"OR2L8",0,0.40268,Inf,-1,0.422649730810374,1
"1175","XLOC_001175",0,0,0,13.2884,13.8779,9.46523,"LOC100130417",0,12.21051,Inf,-8.82805429128416,0.012589483648081,1
"1178","XLOC_001178",0,0,0,2.41608,3.46947,6.62566,"HES4",0,4.17040333333333,Inf,-3.29746681987769,0.0809572758259422,1
"1235","XLOC_001235",0,0,0,3.62412,0,1.89305,"UTS2",0,1.83905666666667,Inf,-1.7572705020866,0.220950444808976,1
"1364","XLOC_001364",0,0,0,0,1.73473,0.946523,"ZNF683",0,0.893751,Inf,-1.78226897261643,0.216649971630155,1
"1441","XLOC_001441",0,0,0,3.62412,1.73473,18.9305,"CSF3R",0,8.09645,Inf,-1.4871114037935,0.275355359324215,1
"1479","XLOC_001479",0,0,0,1.20804,0,0.946523,"GUCA2A",0,0.718187666666667,Inf,-1.95721513362721,0.189452353690562,1
"1663","XLOC_001663",0,0,0,3.62412,0,0.946523,"LOC100128787",0,1.52354766666667,Inf,-1.40387252392762,0.295492708326724,1
"1673","XLOC_001673",0,0,0,4.83216,5.2042,7.57219,"AKNAD1",0,5.86951666666667,Inf,-6.84025675423637,0.0207108456924242,1
"1708","XLOC_001708",0,0,0,1.20804,0,0.946523,"LOC643441",0,0.718187666666667,Inf,-1.95721513362721,0.189452353690562,1
"1718","XLOC_001718",0,0,0,1.20804,0,0,"AMPD1",0,0.40268,Inf,-1,0.422649730810374,1
"1819","XLOC_001819",0,0,0,0,1.73473,0,"FLG",0,0.578243333333333,Inf,-1,0.422649730810374,1
"1826","XLOC_001826",0,0,0,0,1.73473,1.89305,"SPRR2D",0,1.20926,Inf,-1.9943107535757,0.184279834659855,1
"1829","XLOC_001829",0,0,0,0,0,0.946523,"SPRR2E",0,0.315507666666667,Inf,-1,0.422649730810374,1
"1833","XLOC_001833",0,0,0,2.41608,5.2042,0,"PGLYRP3",0,2.54009333333333,Inf,-1.68933864481307,0.233216307772301,1
