"","tracking_id","ES_1","ES_0","ES_2","DefEnd_1","DefEnd_0","DefEnd_2","gene_short_name","es_mean","de_mean","xlog2","tstat","p","Bonf_p","es_count","de_count","es_present","de_present"
"22409","XLOC_022411",20.3338,30.2154,22.318,97589,97835.5,88011.5,"CER1",24.2890666666667,94478.6666666667,11.9254658355182,-29.2033525998205,0.00117050033385649,1,3,3,1,1
"21195","XLOC_021197",1.76816,1.59028,0.697436,2817.15,3283.85,4369.15,"FGF17",1.35195866666667,3490.05,11.3339809450479,-7.5885196617711,0.0169258112495887,1,3,3,1,1
"9982","XLOC_009983",1.76816,3.9757,2.09231,7033.21,7579.05,5214.4,"GATA6",2.61205666666667,6608.88666666667,11.305005344953,-9.24178517667895,0.0115064603033001,1,3,3,1,1
"21290","XLOC_021292",0.884079,3.18056,0,3345.06,3923.97,2914.35,"SOX17",1.35487966666667,3394.46,11.2908016448717,-11.6004192406394,0.00734927289152604,1,2,3,1,1
"21168","XLOC_021170",0,0.795141,2.09231,1865.21,1653.2,2259.35,"GATA4",0.962483666666667,1925.92,10.9664980980691,-10.8390358026065,0.00840459116113645,1,2,3,1,1
"13081","XLOC_013082",1.76816,2.38542,0.697436,2783.32,3361.91,2818.75,"SLC40A1",1.61700533333333,2987.99333333333,10.8516367766923,-15.9495818703397,0.00390795693854861,1,3,3,1,1
"6506","XLOC_006507",0.884079,0,0.697436,848.044,874.306,947.47,"DIO3",0.527171666666667,889.94,10.7212195236848,-29.8977582530031,0.00111684964692915,1,2,3,1,1
"16752","XLOC_016753",0,0,0.697436,285.097,395.519,303.834,"ASB5",0.232478666666667,328.15,10.4630413839352,-9.61161504945967,0.0106518430914845,1,1,3,0,1
"15390","XLOC_015391",9.72487,7.15627,6.97436,10784.2,10620,9108.39,"EOMES",7.95183333333333,10170.8633333333,10.3208670052061,-19.0549384375167,0.00274280704724528,1,3,3,1,1
"13686","XLOC_013687",1.76816,0.795141,5.57949,2650.44,2511.89,1649.79,"LINC00261",2.71426366666667,2270.70666666667,9.70836476060373,-7.24534674914648,0.0185218195947163,1,3,3,1,1
"2323","XLOC_002323",0,0.795141,0.697436,440.934,454.5,349.267,"GATA3",0.497525666666667,414.900333333333,9.70377814670738,-12.5384898055031,0.0063007149886973,1,2,3,1,1
"2252","XLOC_002252",4.4204,1.59028,2.09231,2057.29,2131.99,1289.16,"GREM2",2.70099666666667,1826.14666666667,9.40109506505022,-6.76956617216752,0.021131960177461,1,3,3,1,1
"17755","XLOC_017756",0,0.795141,0.697436,257.312,270.618,217.7,"FOXC1",0.497525666666667,248.543333333333,8.96451073688301,-15.6054704649453,0.00408113815135407,1,2,3,1,1
"21312","XLOC_021314",0,0,0.697436,140.133,133.574,72.8823,"BHLHE22",0.232478666666667,115.529766666667,8.95695056602127,-5.38548579941439,0.032792129183318,1,1,3,0,1
"14707","XLOC_014708",4.4204,6.36113,2.78975,2634.73,2114.64,1509.7,"CHL1",4.52376,2086.35666666667,8.84924770333102,-6.40411117317275,0.0235257093798062,1,3,3,1,1
"6831","XLOC_006832",0,0.795141,2.09231,338.251,286.231,627.545,"GSC",0.962483666666667,417.342333333333,8.76025349480683,-3.92180469897557,0.0592934268560834,1,2,3,1,1
"1259","XLOC_001259",0,0.795141,0.697436,217.447,147.452,233.791,"NPPB",0.497525666666667,199.563333333333,8.64786000261831,-7.5174270457774,0.017239191086584,1,2,3,1,1
"13687","XLOC_013688",1.76816,3.18056,2.78975,965.223,1016.55,960.721,"FOXA2",2.57949,980.831333333333,8.57077540387296,-54.6158315478777,0.000335076965308947,1,3,3,1,1
"16636","XLOC_016637",4.4204,1.59028,4.88206,1326.43,1462.38,1327.97,"PITX2",3.63091333333333,1372.26,8.56200564258684,-30.3640883338336,0.00108286331080381,1,3,3,1,1
"20340","XLOC_020341",0.884079,0,0,106.307,105.819,62.4705,"CYP3A43",0.294693,91.5321666666667,8.2789222292247,-6.27730217955946,0.0244508735530652,1,1,3,0,1
"2441","XLOC_002441",3.53632,4.77085,6.27693,1609.11,1642.79,1000.48,"DKK1",4.86136666666667,1417.46,8.18773035534825,-6.76797447833735,0.0211415879594111,1,3,3,1,1
"2699","XLOC_002699",0.884079,1.59028,0,279.057,196.025,196.877,"PPAPDC1A",0.824786333333333,223.986333333333,8.08517456516499,-8.10309823149949,0.0148906023832758,1,2,3,1,1
"8860","XLOC_008861",8.84079,4.77085,6.97436,1894.21,1674.02,1645.06,"LHX1",6.862,1737.76333333333,7.9843867730963,-21.9999275786245,0.00205974794066595,1,3,3,1,1
"1949","XLOC_001949",6.18855,6.36113,7.6718,1273.27,1443.3,2162.81,"CD48",6.74049333333333,1626.46,7.91466544146276,-5.94108585944427,0.0271815858101556,1,3,3,1,1
"12975","XLOC_012976",18.5657,20.6737,30.6872,5802.21,5249.3,4499.77,"CXCR4",23.3088666666667,5183.76,7.79697625615555,-13.6727511851001,0.00530665022868001,1,3,3,1,1
