"","tracking_id","ES_0","ES_1","ES_2","DefEnd_0","DefEnd_2","DefEnd_1","gene_short_name","es_mean","de_mean","xlog2","tstat","p","Bonf_p","es_count","de_count","es_present","de_present"
"13289","XLOC_013289",0,0,2.0967,0,0,0,"MYCNUT",0.6989,0,-Inf,1,0.422649730810374,1,1,0,0,0
"13959","XLOC_013959",0,0.883458,0.698902,0,0,0,"WNT10A",0.527453333333333,0,-Inf,1.96039803981723,0.189000936517818,1,2,0,1,0
"15612","XLOC_015612",0.796126,0,0.698902,0,0,0,"MAP3K7CL",0.498342666666667,0,-Inf,1.98743215290835,0.185224486348717,1,2,0,1,0
"6127","XLOC_006127",66.8746,63.609,55.9121,1.73538,5.67511,1.20686,"WIF1",62.1319,2.87245,-4.43498048713914,16.7295745018011,0.00355394098665156,1,3,3,1,1
"24537","XLOC_024538",15.9225,12.3684,14.6769,1.73538,0.945851,0,"RSPO2",14.3226,0.893743666666667,-4.00228848698853,11.6196037377649,0.00732529073720352,1,3,2,1,1
"1606","XLOC_001606",5.57288,6.18421,2.79561,0,0.945851,0,"RSPO1",4.8509,0.315283666666667,-3.94353010110371,4.16374209590389,0.0531261999044256,1,3,1,1,0
"18776","XLOC_018776",3858.03,3834.21,4085.78,303.692,370.774,328.266,"SFRP2",3926.00666666667,334.244,-3.55408905470964,43.5146386287928,0.000527697901646423,1,3,3,1,1
"3420","XLOC_003420",13.5341,16.7857,11.1824,1.73538,0,2.41372,"SFRP5",13.8340666666667,1.38303333333333,-3.32231748063357,7.00930158215441,0.0197529611048698,1,3,2,1,1
"20299","XLOC_020299",81.2049,91.8796,84.5671,5.20614,12.2961,9.65489,"DAAM2",85.8838666666667,9.05237666666667,-3.24601862465661,20.3825355069429,0.00239838548339807,1,3,3,1,1
"15531","XLOC_015531",57.3211,50.3571,49.622,6.94152,3.78341,6.0343,"APCDD1L",52.4334,5.58641,-3.23049273378356,17.8359943103391,0.00312869665640307,1,3,3,1,1
"4787","XLOC_004787",114.642,115.733,118.114,20.8246,21.7546,16.896,"FOSL1",116.163,19.8250666666667,-2.55075299518389,53.2935552808138,0.000351901665597844,1,3,3,1,1
"5975","XLOC_005975",6.36901,10.6015,6.98902,0,0.945851,3.62058,"WNT10B",7.98651,1.52214366666667,-2.39146066884976,3.78493611217695,0.063253461199363,1,3,2,1,1
"13290","XLOC_013290",857.428,865.789,914.862,222.129,202.412,188.27,"MYCN",879.359666666667,204.270333333333,-2.10597366914513,33.0462417229591,0.000914449697966101,1,3,3,1,1
"18677","XLOC_018677",11.9419,15.9022,13.978,0,3.78341,6.0343,"DKK2",13.9407,3.27257,-2.090807047879,5.08180035804765,0.036609422885439,1,3,2,1,1
"18669","XLOC_018669",192.663,207.613,192.198,41.6491,60.5345,53.1019,"CXXC4",197.491333333333,51.7618333333333,-1.93182872213092,19.5087000541178,0.00261719318245027,1,3,3,1,1
"1196","XLOC_001196",0,2.65037,0.698902,0,0.945851,0,"WNT3A",1.116424,0.315283666666667,-1.82416270580175,0.938721003060463,0.446968270883247,1,2,1,1,0
"10050","XLOC_010050",1643.2,1533.68,1679.46,380.048,547.648,465.848,"IGFBP4",1618.78,464.514666666667,-1.80111087541362,17.6820769834705,0.00318314157905302,1,3,3,1,1
"2930","XLOC_002930",6.36901,4.41729,6.29011,1.73538,0.945851,2.41372,"WNT8B",5.69213666666667,1.698317,-1.74486453018636,5.21400609369178,0.0348711668361726,1,3,3,1,1
"3778","XLOC_003778",189.478,208.496,194.994,52.0614,36.8882,92.9283,"CD44",197.656,60.6259666666667,-1.70498399902695,7.75832509959938,0.0162107336889312,1,3,3,1,1
